#  Vmag     Imag      dx       dy
 26.6500  26.2500   0.2700   0.2400
 23.2300  21.6940   0.0000   0.2200
 22.6550  21.1870   0.0000   0.1700
 22.3030  20.9440   0.0100  -0.1900
 23.2430  22.8080  -0.5700  -0.1800
 23.6280  23.1560  -0.4300  -0.4200
 22.1850  20.8260   0.2100   0.2400
 26.3820  24.0130  -0.1200   0.1200
 28.2240  26.7660  -0.3900  -0.1300
 21.6010  20.9660  -0.4100  -0.0800
 28.4930  27.4040   0.0900  -0.0900
 23.3760  21.7260   0.0100   0.0200
 24.0320  22.3320  -0.1100  -0.0800
 25.8830  25.0590  -0.5200  -0.1600
 22.1750  20.8550  -0.0100   0.0400
 22.7870  21.2750   0.1900   0.1100
 21.3890  20.2390  -0.1400  -0.1700
 23.0010  21.4370  -0.1300   0.0300
 28.4710  27.3130  -0.6000  -0.0500
 29.6070  27.4280   0.6000  -0.1300
 25.7250  24.6820  -0.5900  -0.0800
 23.5940  21.9590   0.1000  -0.0600
 28.2860  27.2180  -0.0100  -0.4300
 28.7030  27.1820   0.0000   0.0500
 24.1040  22.2940   0.1700   0.1600
 24.3870  22.5300   0.3100  -0.0400
 21.8770  20.6070   0.0200  -0.0100
 22.7800  21.3350  -0.1200   0.2400
 26.1360  24.1340   0.1300   0.0100
 23.7240  23.3190  -0.5600  -0.3100
 24.0830  22.2850  -0.0700  -0.1500
 25.9060  23.8490   0.1300   0.1600
 27.3500  26.4390  -0.8200  -0.3300
 24.6520  23.9690  -0.5900  -0.1000
 26.1320  25.1670  -0.7300  -0.0800
 22.3580  20.9540   0.3200   0.0800
 26.0830  23.9750  -0.0800  -0.0900
 22.3350  20.9830  -0.0300   0.1400
 23.4630  22.9820  -0.3500  -0.1900
 23.9930  22.1590  -0.2300   0.1800
 26.5370  25.8460  -0.5000  -0.1300
 20.7990  19.5960   0.0100  -0.0200
 29.2590  25.8330   0.1000  -1.1000
 26.2630  25.3840  -0.3200  -0.1900
 24.7560  24.1500  -0.4000  -0.2800
 24.9550  22.9890  -0.1800   0.0600
 23.9740  22.2890  -0.1100  -0.0400
 24.1290  23.6000  -0.2900  -0.2400
 24.2880  23.7340  -0.4200  -0.1700
 23.3070  21.7120   0.1300  -0.0900
 26.7550  24.4660   0.1200   0.0200
 27.7990  26.5620  -0.3300  -0.2000
 22.2560  20.8920   0.0900  -0.0200
 23.7230  22.0330   0.0100   0.0800
 24.3600  22.5970  -0.0300  -0.1500
 25.2710  24.5100  -0.6200  -0.2300
 21.6110  20.4130  -0.2100  -0.1400
 25.0800  24.1790  -0.7000  -0.6000
 29.0580  27.9120   4.2600   2.4700
 22.3690  20.9620  -0.1200   0.0400
 24.0290  22.2820   0.1400   0.0400
 22.9330  21.3840   0.0400  -0.1500
 28.6310  25.3440  -0.2000  -0.0900
 25.6720  23.5360   0.0800   0.2100
 23.9680  22.3050   0.0900  -0.0600
 23.3320  21.6930   0.0100   0.0500
 25.3280  23.2810  -0.0200  -0.0300
 23.0000  21.5210   0.1000  -0.0400
 26.1990  23.8520   0.2000   0.0100
 23.0180  21.2660   0.2400  -0.1700
 28.4190  25.1980   0.1800   0.0200
 24.7230  24.1970  -0.5200  -0.4200
 26.1460  25.2360  -0.2900  -0.0400
 22.9470  21.4100  -0.1300  -0.1600
 24.9510  22.8020   0.1100   0.0900
 26.4430  25.5380  -0.6600  -0.0500
 21.0360  19.9620   0.1600  -0.2100
 23.3860  21.7550  -0.1100  -0.2800
 27.6600  26.3570  -0.2800  -0.2600
 23.4830  22.9820  -0.7200   0.0400
 21.6190  20.4010   0.0300   0.0000
 28.1680  26.9260  -0.4000  -0.2900
 25.8430  23.6910   0.1300   0.0300
 24.6700  22.8680   0.1400   0.2900
 21.6390  20.4340   0.2800  -0.2000
 23.8780  23.2810  -0.1300  -0.1400
 24.9400  22.9930  -0.0700  -0.2700
 23.9570  22.2570  -0.0100  -0.2100
 26.0720  23.9500  -0.2800   0.1800
 23.8470  23.3270  -0.5900   0.0800
 27.4780  26.5260  -0.7100  -0.1100
 23.1220  21.5310   0.1400  -0.1400
 25.9570  23.7320   0.3400   0.3100
 24.8170  22.8330   0.2200   0.1800
 26.0020  23.7080   0.0300   0.2200
 27.6710  24.8430   0.1400   0.4600
 21.5780  20.4020  -0.0400  -0.1700
 24.9400  22.9890  -0.0900  -0.0500
 25.7150  25.0190  -0.3300  -0.0700
 26.9570  25.9450  -0.6400  -0.2600
 25.6430  23.4820   0.0900   0.0800
 22.3200  20.9750   0.1300   0.1200
 24.1520  23.6720  -0.3100  -0.3300
 20.4560  19.5560  -0.0400   0.1000
 24.0760  22.2920  -0.0600   0.0500
 22.6940  21.2410   0.1100   0.0900
 27.6870  26.5320  -0.1100   0.3700
 26.3510  25.2650  -0.3200  -0.1200
 23.1650  21.5230  -0.2800  -0.0200
 29.2460  28.1380  -0.3900   1.9200
 26.9580  25.9170  -0.4700  -0.3100
 23.8810  22.1700   0.1100   0.2600
 23.0490  21.4800   0.0800  -0.1700
 25.6650  23.4890  -0.1700   0.0400
 27.7030  26.6250   0.0000  -0.5900
 24.0810  23.5580  -0.5600  -0.1300
 26.0990  25.2140  -0.3800  -0.2600
 25.5320  23.5270   0.1600   0.0100
 20.8120  19.8210   0.0700   0.0200
 25.9210  23.6330  -0.0700  -0.0300
 27.7540  24.9350   0.0500  -0.6000
 24.8620  24.2700  -0.3100  -0.4200
 23.1330  21.6520   0.0200  -0.3400
 23.5850  21.8950   0.0700   0.2400
 26.2740  25.7280   0.1000   0.2000
 24.2900  22.4840   0.1700   0.3500
 23.8620  22.1640   0.0900  -0.0100
 23.5020  23.0510  -0.6900  -0.0200
 27.2280  26.6400   0.0600  -0.0400
 26.7940  25.7270  -0.2400  -0.2500
 26.8870  25.6810  -0.4000   0.0300
 22.1930  20.8620   0.1300  -0.0600
 21.5280  20.3540  -0.0400   0.0900
 26.7850  25.7660  -0.7800  -0.1100
 25.3070  23.2550   0.2400  -0.1300
 26.0360  25.2410  -0.5300  -0.2600
 20.6490  19.6700  -0.2700   0.0000
 26.8250  24.3380  -0.2300  -0.0100
 22.1560  20.8570  -0.1100   0.1400
 27.8440  24.9900   0.2900   0.1200
 23.2760  21.6990  -0.1800  -0.0600
 21.4880  20.3000  -0.1200   0.0000
 24.5940  24.6710   0.1100  -0.1700
 23.1470  21.5410   0.1600   0.0100
 27.9350  26.7070  -0.6000  -0.2000
 26.6550  24.2520   0.1600   0.2400
 22.8480  21.3050  -0.3700  -0.1600
 23.7120  22.0510   0.0300   0.0000
 26.6290  24.2050   0.0700  -0.1600
 25.8820  25.1500  -0.5200  -0.3200
 25.3860  24.7870  -0.5800  -0.2600
 23.1880  21.6260   0.1000   0.1300
 25.2810  23.3780  -0.1000  -0.0400
 24.4680  22.5960   0.0100  -0.1900
 23.0860  21.5840  -0.0600   0.0100
 23.9860  22.2420   0.1500  -0.0500
 26.9060  24.5150  -0.0900   0.0000
 22.3140  20.9450   0.0600   0.1500
 25.1980  23.2010   0.1100   0.1300
 23.6230  21.9520   0.3800  -0.1100
 20.6670  19.6990  -0.0900  -0.0800
 22.3010  20.9630  -0.0300   0.0700
 25.7260  23.6210   0.1600  -0.0400
 21.3880  20.2530  -0.0500   0.0500
 27.2410  24.6310   0.0500  -0.2400
