X,CH1
Second,Volt,
-1.42e-03,-5.20e-01
-1.41e-03,-5.60e-01
-1.41e-03,-5.80e-01
-1.40e-03,-6.00e-01
-1.40e-03,-6.00e-01
-1.40e-03,-6.40e-01
-1.39e-03,-6.60e-01
-1.39e-03,-6.60e-01
-1.38e-03,-6.60e-01
-1.38e-03,-7.00e-01
-1.38e-03,-7.20e-01
-1.37e-03,-7.40e-01
-1.37e-03,-8.00e-01
-1.36e-03,-8.00e-01
-1.36e-03,-8.00e-01
-1.36e-03,-8.00e-01
-1.35e-03,-8.00e-01
-1.35e-03,-8.00e-01
-1.34e-03,-8.60e-01
-1.34e-03,-9.00e-01
-1.34e-03,-8.60e-01
-1.33e-03,-8.60e-01
-1.33e-03,-8.60e-01
-1.32e-03,-9.00e-01
-1.32e-03,-9.20e-01
-1.32e-03,-9.20e-01
-1.31e-03,-9.40e-01
-1.31e-03,-9.40e-01
-1.30e-03,-9.60e-01
-1.30e-03,-9.60e-01
-1.30e-03,-9.80e-01
-1.29e-03,-9.40e-01
-1.29e-03,-9.80e-01
-1.28e-03,-1.00e+00
-1.28e-03,-1.02e+00
-1.28e-03,-1.02e+00
-1.27e-03,-9.80e-01
-1.27e-03,-9.80e-01
-1.26e-03,-9.60e-01
-1.26e-03,-9.60e-01
-1.26e-03,-1.02e+00
-1.25e-03,-1.00e+00
-1.25e-03,-9.60e-01
-1.24e-03,-1.00e+00
-1.24e-03,-9.80e-01
-1.24e-03,-9.60e-01
-1.23e-03,-9.80e-01
-1.23e-03,-9.60e-01
-1.22e-03,-9.80e-01
-1.22e-03,-9.40e-01
-1.22e-03,-9.40e-01
-1.21e-03,-9.00e-01
-1.21e-03,-9.40e-01
-1.20e-03,-9.80e-01
-1.20e-03,-9.20e-01
-1.20e-03,-9.00e-01
-1.19e-03,-8.80e-01
-1.19e-03,-9.40e-01
-1.18e-03,-9.00e-01
-1.18e-03,-8.80e-01
-1.18e-03,-8.80e-01
-1.17e-03,-8.80e-01
-1.17e-03,-8.40e-01
-1.16e-03,-8.00e-01
-1.16e-03,-8.00e-01
-1.16e-03,-8.40e-01
-1.15e-03,-8.00e-01
-1.15e-03,-7.60e-01
-1.14e-03,-7.40e-01
-1.14e-03,-7.40e-01
-1.14e-03,-7.20e-01
-1.13e-03,-6.80e-01
-1.13e-03,-6.80e-01
-1.12e-03,-6.60e-01
-1.12e-03,-6.60e-01
-1.12e-03,-6.60e-01
-1.11e-03,-5.80e-01
-1.11e-03,-6.00e-01
-1.10e-03,-5.80e-01
-1.10e-03,-5.60e-01
-1.10e-03,-5.40e-01
-1.09e-03,-5.00e-01
-1.09e-03,-4.80e-01
-1.08e-03,-4.80e-01
-1.08e-03,-4.60e-01
-1.08e-03,-4.20e-01
-1.07e-03,-4.00e-01
-1.07e-03,-3.60e-01
-1.06e-03,-3.60e-01
-1.06e-03,-3.20e-01
-1.06e-03,-3.00e-01
-1.05e-03,-2.60e-01
-1.05e-03,-2.60e-01
-1.04e-03,-2.20e-01
-1.04e-03,-2.20e-01
-1.04e-03,-2.00e-01
-1.03e-03,-1.60e-01
-1.03e-03,-1.40e-01
-1.02e-03,-1.20e-01
-1.02e-03,-6.00e-02
-1.02e-03,-6.00e-02
-1.01e-03,-4.00e-02
-1.01e-03,0.00e+00
-1.00e-03,2.00e-02
-1.00e-03,4.00e-02
-9.96e-04,6.00e-02
-9.92e-04,7.99e-02
-9.88e-04,1.00e-01
-9.84e-04,1.40e-01
-9.80e-04,1.80e-01
-9.76e-04,2.00e-01
-9.72e-04,2.00e-01
-9.68e-04,2.60e-01
-9.64e-04,2.40e-01
-9.60e-04,2.80e-01
-9.56e-04,3.40e-01
-9.52e-04,3.20e-01
-9.48e-04,3.60e-01
-9.44e-04,4.00e-01
-9.40e-04,4.00e-01
-9.36e-04,4.00e-01
-9.32e-04,4.80e-01
-9.28e-04,4.80e-01
-9.24e-04,4.80e-01
-9.20e-04,5.00e-01
-9.16e-04,5.20e-01
-9.12e-04,5.60e-01
-9.08e-04,5.60e-01
-9.04e-04,6.00e-01
-9.00e-04,6.00e-01
-8.96e-04,6.80e-01
-8.92e-04,6.60e-01
-8.88e-04,6.80e-01
-8.84e-04,7.00e-01
-8.80e-04,7.00e-01
-8.76e-04,7.20e-01
-8.72e-04,7.20e-01
-8.68e-04,7.80e-01
-8.64e-04,7.80e-01
-8.60e-04,8.00e-01
-8.56e-04,8.00e-01
-8.52e-04,8.00e-01
